SourceTextTitle,SourceTextCode,EventID,PageNumber,OrderWithinPage,begin_word,end_word
"Absalom, Absalom!",AA,16008,208,208.02,"""It was thirty years before he told Grandfather","""Yes,"" Shreve said; ""Mr Coldfield: what was that?"""
"Absalom, Absalom!",AA,16009,208,208.03,"""Yes,"" Shreve said; ""Mr Coldfield: what was that?""",hated that country so much that he was even
"Absalom, Absalom!",AA,16010,209,209.01,hated that country so much that he was even,"""Sure,"" Shreve said.  ""That's fine.  But Sutpen.  The design."
"Absalom, Absalom!",AA,16011,209,209.02,"""Sure,"" Shreve said.  ""That's fine.  But Sutpen.  The design.","Only Father said that that wasn't it now,"
"Absalom, Absalom!",AA,16012,210,210.01,"Only Father said that that wasn't it now,","""Dont say it's just me that sounds like your"
"Absalom, Absalom!",AA,16013,210,210.02,"""Dont say it's just me that sounds like your","""Yes, the two children, the son and the daughter"
"Absalom, Absalom!",AA,16014,210,210.03,"""Yes, the two children, the son and the daughter",like he chose his twenty niggers out of whatever
"Absalom, Absalom!",AA,16015,211,211.01,like he chose his twenty niggers out of whatever,And Grandfather said there was no conscience
"Absalom, Absalom!",AA,16016,211,211.02,And Grandfather said there was no conscience,"suffice that I had the wife, accepted her in"
"Absalom, Absalom!",AA,16017,212,212.01,"suffice that I had the wife, accepted her in",a fact which I did not learn until after
"Absalom, Absalom!",AA,16018,212,212.02,a fact which I did not learn until after,"And yet, after more than thirty years, more than"
"Absalom, Absalom!",AA,16019,213,213.01,"And yet, after more than thirty years, more than",It was at this point that Shreve went to
"Absalom, Absalom!",AA,16020,213,213.02,It was at this point that Shreve went to,"""All right,"" he said.  ""So that Christmas Henry"
"Absalom, Absalom!",AA,16021,213,213.03,"""All right,"" he said.  ""So that Christmas Henry","""Yes,"" Quentin said.  ""Father said he probably named him"
"Absalom, Absalom!",AA,16022,213,213.04,"""Yes,"" Quentin said.  ""Father said he probably named him","just as he named them all - the Charles Goods,"
"Absalom, Absalom!",AA,16023,214,214.01,"just as he named them all - the Charles Goods,","""Your father,"" Shreve said.  ""He seems to have"
"Absalom, Absalom!",AA,16024,214,214.02,"""Your father,"" Shreve said.  ""He seems to have",""" - said how he must have stood there on the"
"Absalom, Absalom!",AA,16025,214,214.03,""" - said how he must have stood there on the","and which he came to Grandfather, not to"
"Absalom, Absalom!",AA,16026,215,215.01,"and which he came to Grandfather, not to",Because he did not give up.  He never did
"Absalom, Absalom!",AA,16027,215,215.02,Because he did not give up.  He never did,Then Henry and Bon went back to school and
"Absalom, Absalom!",AA,16028,215,215.03,Then Henry and Bon went back to school and,He didn't do anything at all until spring
"Absalom, Absalom!",AA,16029,216,216.01,He didn't do anything at all until spring,and the next Christmas came and Henry and Bon
"Absalom, Absalom!",AA,16030,216,216.02,and the next Christmas came and Henry and Bon,Then it was '61 and Sutpen knew what they
"Absalom, Absalom!",AA,16031,217,217.01,Then it was '61 and Sutpen knew what they,"That was the day he came to the office,"
"Absalom, Absalom!",AA,16032,217,217.02,"That was the day he came to the office,","and came in to see Grandfather, trying to explain"
"Absalom, Absalom!",AA,16033,218,218.01,"and came in to see Grandfather, trying to explain","""Your old man,"" Shreve said.  ""When your grandfather"
"Absalom, Absalom!",AA,16034,220,220.01,"""Your old man,"" Shreve said.  ""When your grandfather","""He left for Virginia that night. Grandfather said"
"Absalom, Absalom!",AA,16035,221,221.01,"""He left for Virginia that night. Grandfather said","He could still reach Sutpen's Hundred before dark,"
"Absalom, Absalom!",AA,16036,221,221.02,"He could still reach Sutpen's Hundred before dark,",Then it was '65 and the army (Grandfather
"Absalom, Absalom!",AA,16037,221,221.03,Then it was '65 and the army (Grandfather,"""So he got his choice made after all,"" Shreve said."
"Absalom, Absalom!",AA,16038,222,222.01,"""So he got his choice made after all,"" Shreve said.",(that at least regarding which he should have needed
"Absalom, Absalom!",AA,16039,222,222.02,(that at least regarding which he should have needed,He had returned.  He was home again where his problem
"Absalom, Absalom!",AA,16040,223,223.01,He had returned.  He was home again where his problem,"It broke down, it vanished into that old impotent"
